City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,76.87,67,91,13.0,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,75.7,79,100,11.05,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,41.99,95,82,1.7,broken clouds
3,Bandarbeyla,SO,9.4942,50.8122,79.27,86,36,24.34,scattered clouds
4,Saldanha,ZA,-33.0117,17.9442,57.25,40,6,10.92,clear sky
5,New Norfolk,AU,-42.7826,147.0587,43.57,76,100,1.99,overcast clouds
6,Vila Velha,BR,-20.3297,-40.2925,75.94,87,40,1.01,scattered clouds
7,Geraldton,AU,-28.7667,114.6,46.81,87,0,7.29,clear sky
8,Ulsteinvik,NO,62.3432,5.8487,62.11,93,100,1.99,overcast clouds
9,Maha Sarakham,TH,16.3333,103.6667,80.19,88,100,4.07,moderate rain
10,Port Alfred,ZA,-33.5906,26.891,59.0,76,0,14.25,clear sky
11,Ushuaia,AR,-54.8,-68.3,33.46,80,40,8.05,scattered clouds
12,Nikolskoye,RU,59.7035,30.7861,61.39,66,50,3.56,scattered clouds
13,Rio Grande,BR,-32.035,-52.0986,62.71,95,100,9.4,light rain
14,Busselton,AU,-33.65,115.3333,57.09,84,52,12.93,broken clouds
15,Srednekolymsk,RU,67.45,153.6833,63.23,35,1,20.83,clear sky
16,Codrington,AU,-38.2667,141.9667,53.26,95,100,8.43,overcast clouds
17,Bethel,US,41.3712,-73.414,93.02,48,98,1.99,overcast clouds
18,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.61,scattered clouds
19,Orocue,CO,4.7912,-71.3354,85.05,69,38,3.56,scattered clouds
20,Gat,IL,31.61,34.7642,72.28,100,0,4.47,clear sky
21,Katobu,ID,-4.9408,122.5276,74.28,91,8,4.18,clear sky
22,Santa Rosa,PH,14.3122,121.1114,82.38,85,99,5.3,overcast clouds
23,Aklavik,CA,68.2191,-135.0107,41.72,81,90,12.66,overcast clouds
24,Hilo,US,19.7297,-155.09,81.25,78,16,5.01,few clouds
25,Okhotsk,RU,59.3833,143.3,42.91,81,76,3.74,broken clouds
26,Mareeba,AU,-17.0,145.4333,60.44,90,99,2.21,overcast clouds
27,Ambilobe,MG,-13.2,49.05,71.4,90,60,2.51,light rain
28,Gallup,US,35.5281,-108.7426,71.44,49,90,9.22,overcast clouds
29,Esperance,AU,-33.8667,121.9,51.64,61,75,15.48,broken clouds
30,Atuona,PF,-9.8,-139.0333,79.18,72,17,14.85,few clouds
31,Chippewa Falls,US,44.9369,-91.3929,95.94,64,10,14.5,clear sky
32,Hambantota,LK,6.1241,81.1185,78.42,85,49,14.52,scattered clouds
33,Melfi,IT,40.9965,15.6514,63.39,66,79,6.98,broken clouds
34,Sunndalsora,NO,62.6754,8.5515,59.65,96,100,3.6,overcast clouds
